r, promedio
7.343686423436865063e+00,-1.313246003081632030e-02
7.424386274243862438e+00,-1.344696534267165837e-02
7.505086125050861590e+00,-1.389094942651947391e-02
7.585785975857859853e+00,-1.400778633389857843e-02
7.666485826664859005e+00,-1.426295037916329271e-02
7.747185677471856380e+00,-1.446560194381789344e-02
7.827885528278856420e+00,-1.464045595695537445e-02
7.908585379085853795e+00,-1.481853931657394277e-02
7.989285229892852058e+00,-1.495052490909890355e-02
8.069985080699851210e+00,-1.515953211580455678e-02
8.150684931506848585e+00,-1.530568230423384399e-02
8.231384782313849513e+00,-1.549563142348666690e-02
8.312084633120846888e+00,-1.577290865986465118e-02
8.392784483927844263e+00,-1.601454091024358956e-02
8.473484334734843415e+00,-1.632024953101871012e-02
8.554184185541842567e+00,-1.656881623997045680e-02
8.634884036348841718e+00,-1.698678919992494679e-02
8.715583887155839093e+00,-1.733610681343220397e-02
8.796283737962836469e+00,-1.771816922825825841e-02
8.876983588769835620e+00,-1.811235356485609710e-02
8.957683439576834772e+00,-1.849138017467771844e-02
9.038383290383833923e+00,-1.896199277294474683e-02
9.119083141190831299e+00,-1.928770594509193401e-02
9.199782991997828674e+00,-1.981311641860241529e-02
9.280482842804829602e+00,-2.017983359611365615e-02
9.361182693611826977e+00,-2.051485492173506231e-02
9.441882544418826129e+00,-2.097665084184984277e-02
9.522582395225823504e+00,-2.127679244287151300e-02
9.603282246032822655e+00,-2.167731652969558109e-02
9.683982096839821807e+00,-2.195253346799915656e-02
9.764681947646819182e+00,-2.228441846277471119e-02
9.845381798453818334e+00,-2.260764114006733744e-02
9.926081649260817485e+00,-2.290523326123009365e-02
1.000678150006781486e+01,-2.321330294907027886e-02
1.008748135087481401e+01,-2.350122560728717946e-02
1.016818120168181139e+01,-2.388640661269825563e-02
1.024888105248881232e+01,-2.420045796972472227e-02
1.032958090329580969e+01,-2.463665935430248838e-02
1.041028075410280707e+01,-2.502637149283490695e-02
1.049098060490980622e+01,-2.545143123536116464e-02
1.057168045571680537e+01,-2.594743323490135076e-02
1.065238030652380452e+01,-2.638414955949444987e-02
1.073308015733080190e+01,-2.690649903541978902e-02
1.081378000813779927e+01,-2.743030503163799289e-02
1.089447985894479842e+01,-2.775894974573510365e-02
1.097517970975179757e+01,-2.828745936222883117e-02
1.105587956055879673e+01,-2.864540719152643480e-02
1.113657941136579410e+01,-2.907453662945097550e-02
1.121727926217279148e+01,-2.945219777206220177e-02
1.129797911297979240e+01,-2.960177589206609491e-02
1.137867896378678978e+01,-2.999475489319102309e-02
1.145937881459378893e+01,-3.018052425617581344e-02
1.154007866540078631e+01,-3.036793477231889554e-02
1.162077851620778546e+01,-3.047924934266075733e-02
1.170147836701478461e+01,-3.060961855608926654e-02
1.178217821782178198e+01,-3.081876598459189903e-02
1.186287806862878114e+01,-3.092313849829375974e-02
1.194357791943578029e+01,-3.121669156121506528e-02
1.202427777024277766e+01,-3.142576637330091877e-02
1.210497762104977681e+01,-3.207521645511777347e-02
1.218567747185677419e+01,-3.229839909140280046e-02
1.226637732266377512e+01,-3.257809718366410506e-02
1.234707717347077249e+01,-3.253060023158933084e-02
1.242777702427776987e+01,-3.329500316164860085e-02
1.250847687508476902e+01,-3.363833290035716378e-02
1.258917672589176817e+01,-3.423603236854409759e-02
1.266987657669876732e+01,-3.481437188714261305e-02
1.275057642750576470e+01,-3.514963869914258104e-02
1.283127627831276207e+01,-3.571795325069067328e-02
1.291197612911976123e+01,-3.608902117829754924e-02
1.299267597992676038e+01,-3.673117625607351389e-02
1.307337583073375953e+01,-3.704936681268056198e-02
1.315407568154075690e+01,-3.739603350076394633e-02
1.323477553234775428e+01,-3.772900781885725474e-02
1.331547538315475521e+01,-3.824020298117000033e-02
1.339617523396175258e+01,-3.847972627535976159e-02
1.347687508476875173e+01,-3.878197259793913360e-02
1.355757493557574911e+01,-3.918285482762700472e-02
1.363827478638274826e+01,-3.940837349021770325e-02
1.371897463718974741e+01,-3.987816725612952640e-02
1.379967448799674479e+01,-4.018421462030650343e-02
1.388037433880374394e+01,-4.050109406754360403e-02
1.396107418961074309e+01,-4.091166858465379585e-02
1.404177404041774047e+01,-4.116509176484298843e-02
1.412247389122473962e+01,-4.140630473983664822e-02
1.420317374203173699e+01,-4.191438210001360160e-02
1.428387359283873792e+01,-4.192063598684123149e-02
1.436457344364573530e+01,-4.234080504590616301e-02
